paradigm,beta_L,beta_Q,seed,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,MSE_SecondaryInfection,ECE_SecondaryInfection,MSE_NerveDysesthesia,ECE_NerveDysesthesia,MSE_Bleeding,ECE_Bleeding,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,fleiss_kappa_per_client_macro,fleiss_kappa_global_macro,partition_beta_L,partition_beta_Q,partition_label,partition_min_size,partition_mean_kl_divergence,partition_std_kl_divergence,partition_min_client_size,partition_max_client_size,partition_std_client_size
local,0.25,0.75,42,0.363408360629092,0.41555902245952286,0.018143438480819896,0.06236219639512322,0.01997684384114109,0.07336829084157943,0.018754584214184432,0.06468183121358353,0.018461218501033726,0.05986504258356677,0.015381107366920332,0.05153362094176313,0.4235423041740554,0.4592775011768519,0.41067276708371436,0.45997462960773683,0.26724868550273,0.36998590872719844,0.35216968575586816,0.3729980503263044,0.17475888096993708,0.1079582121290897,0.25,0.75,Risk_Category_Composite,100,0.7504646074825421,0.6302503810525695,159,17692,5486.175534924124
federated,0.25,0.75,42,0.6803177687587632,0.6136102156920499,0.00044183165118738543,0.0015857737141971788,0.0009219811763614416,0.0011865971026321252,0.000759665563236922,0.003996937818825245,5.393286483013071e-05,0.0006792275235056877,3.174700032104738e-05,0.0004803324118256569,0.7886797361533135,0.6369782188226276,0.7736058105907578,0.6553874325626277,0.4916931383983652,0.5641791079109558,0.6672923898926157,0.5978961034719884,0.5065789983625489,1.0,0.25,0.75,Risk_Category_Composite,100,0.7504646074825421,0.6302503810525695,159,17692,5486.175534924124
centralized,0.25,1.0,42,0.7603911801143792,0.6547844904267501,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.6682508587189565,0.8186975270168998,0.7061536379954182,0.649784704401065,0.603423967440926,0.7395764364778438,0.6413094975517,0.5465389141419688,1.0,0.25,1.0,Risk_Category_Composite,100,0.5363100978786819,0.5368469847919053,387,14444,4201.270569720546
local,0.25,1.0,42,0.3826472757211013,0.42700436309632084,0.005894168921258824,0.027187147683805476,0.006948032893706113,0.031423189654449624,0.006144205672899261,0.026670701983446878,0.005253274559800047,0.025511838426813482,0.005231162558629876,0.025142860670511923,0.489963747670512,0.4990709611810293,0.47035371113537544,0.49042930600216755,0.24773987314114904,0.3457905212236718,0.3225317709373687,0.37272666397841464,0.17634089983782913,0.1482386811200768,0.25,1.0,Risk_Category_Composite,100,0.5363100978786819,0.5368469847919053,387,14444,4201.270569720546
federated,0.25,1.0,42,0.6471360115926551,0.6246691112197532,0.0004592089708239655,0.0010157504190380375,0.0010130349546670914,0.001044872711102168,0.0007301404257304966,0.0019341714680194855,6.099721940699965e-05,0.0003981259651482105,3.266328349127434e-05,0.0006858315318822861,0.7779594536406526,0.6564841888159526,0.7536321565958035,0.6853587529594422,0.43169280348291394,0.5620702152222857,0.6252596326512502,0.5947632878813324,0.5993443636011303,1.0,0.25,1.0,Risk_Category_Composite,100,0.5363100978786819,0.5368469847919053,387,14444,4201.270569720546
centralized,0.25,1.5,42,0.7603911801143792,0.6492720770902607,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.6722951183300702,0.8186975270168998,0.6925126537801761,0.649784704401065,0.6140614049595643,0.7395764364778438,0.618219131291232,0.4819093016185234,1.0,0.25,1.5,Risk_Category_Composite,100,0.4958880393350471,0.4623770037371032,367,12906,3299.608522234115
local,0.25,1.5,42,0.3511983135323382,0.42844591019549394,0.00816261680520256,0.03353034797798221,0.010820665780920535,0.044238892345999675,0.008303447917569429,0.0357458640281111,0.006500324769149302,0.02697350185302396,0.007026028753170976,0.027163133684794106,0.4502694921668698,0.5162997055122381,0.38250416340856297,0.48124992239364894,0.26876938909330006,0.3587228266666098,0.3032502094606199,0.35751118620947886,0.21652557672691247,0.1549735771851779,0.25,1.5,Risk_Category_Composite,100,0.4958880393350471,0.4623770037371032,367,12906,3299.608522234115
federated,0.25,1.5,42,0.614634342597011,0.6068059744929928,0.0005271317031656508,0.002531339639487366,0.001112740719690919,0.002952006248136362,0.0008634268306195736,0.0058443354380627475,9.57072843448259e-05,0.00045793037861585617,3.6651978007284924e-05,0.0008710864931344986,0.7544656471713193,0.649158569918253,0.721845572931655,0.6854922815479645,0.39482468181699587,0.5252671900846503,0.587401468468074,0.5673058564211034,0.5554691289028364,1.0,0.25,1.5,Risk_Category_Composite,100,0.4958880393350471,0.4623770037371032,367,12906,3299.608522234115
centralized,0.25,2.0,42,0.7603911801143792,0.6818868713234966,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.7132229885796182,0.8186975270168998,0.7224345896027177,0.649784704401065,0.6479427512635197,0.7395764364778438,0.6439471558481307,0.5429108374120711,1.0,0.25,2.0,Risk_Category_Composite,100,0.448060482481526,0.5498253491838755,629,11627,2860.302221794054
local,0.25,2.0,42,0.3985197033070117,0.4652173099800494,0.001980254901354783,0.011670865495533995,0.0035219717829022557,0.017425217006479702,0.002905066724633798,0.013269047696267567,0.0006726917337800842,0.0076109767140199736,0.000821289364102995,0.008378220565368733,0.49958475863543816,0.5468487187309274,0.45634572742313945,0.5336882192562082,0.28475079450446394,0.376420835884783,0.3533975326650052,0.403911466048279,0.2304587260251187,0.20831152972966574,0.25,2.0,Risk_Category_Composite,100,0.448060482481526,0.5498253491838755,629,11627,2860.302221794054
federated,0.25,2.0,42,0.6066067825669114,0.615964936577662,0.0005628268500004197,0.003332653388381004,0.0012442569714039564,0.0061860640794038765,0.0008808935526758432,0.004713132590055466,8.428368892055005e-05,0.0008631572127342224,4.1873187001328915e-05,0.001568259671330452,0.7480147983693274,0.6749028517199905,0.7233440834299492,0.6908960219694351,0.38053982291459915,0.5248181245003448,0.5745284255537698,0.5732427481208776,0.6134254157344596,1.0,0.25,2.0,Risk_Category_Composite,100,0.448060482481526,0.5498253491838755,629,11627,2860.302221794054
centralized,0.25,10.0,42,0.7603911801143792,0.6773794462476835,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.7078648690142232,0.8186975270168998,0.7187919163308019,0.649784704401065,0.6479838097002855,0.7395764364778438,0.6348771899454237,0.5478991690081931,1.0,0.25,10.0,Risk_Category_Composite,100,0.37485464567065985,0.4750018825325262,2510,7699,1318.7541089983379
