paradigm,beta_L,beta_Q,seed,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,MSE_SecondaryInfection,ECE_SecondaryInfection,MSE_NerveDysesthesia,ECE_NerveDysesthesia,MSE_Bleeding,ECE_Bleeding,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,fleiss_kappa_per_client_macro,partition_beta_L,partition_beta_Q,partition_label,partition_min_size,partition_method,partition_final_train_size,partition_test_size,partition_pool_rows,partition_remaining_rows_after_test_split,partition_mean_kl_divergence,partition_std_kl_divergence,partition_min_client_size,partition_max_client_size,partition_std_client_size,fleiss_kappa_global_macro
centralized,0.5,1.0,42,0.7530718281216868,0.6093094829173278,0.00032402522174379556,0.0031830898666521537,0.0006431192741729319,0.004914686008046071,0.0005592913366854191,0.007250137982269127,4.980021549272351e-05,0.0003797533712349832,4.389006062410772e-05,0.00018778210505843163,0.8150164330182147,0.6141287984805158,0.8047580610509734,0.6290253679412197,0.7196448811429198,0.5932938739292036,0.6728679372746393,0.6007898913183719,0.5214169530086545,0.5,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.585890139056821,0.33328012971713705,344,10006,3253.5255339400674,
local,0.5,1.0,42,0.33934690528428163,0.4059542689560399,0.006813178056654579,0.036435000164698195,0.009074637654703111,0.04696290128392478,0.007523340277839452,0.03773027156268557,0.004695436679321574,0.029292765053485836,0.005959297614754178,0.03175406275869658,0.4081234529118459,0.44278074007824264,0.3782600061761862,0.45122920136111144,0.2846607126733235,0.3756531373530112,0.286343449375771,0.3541539970317945,0.18311787442726823,0.5,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.585890139056821,0.33328012971713705,344,10006,3253.5255339400674,0.1360718536584657
federated,0.5,1.0,42,0.5868946235329204,0.5509533080730977,0.0005394537238316843,0.002739919077605009,0.0010616275249049067,0.006427494612832865,0.0009441688889637589,0.003841358742366234,8.085843728622422e-05,0.0004891166463494301,7.11600441718474e-05,0.00020170630887150764,0.7639404758322216,0.6022551454730557,0.7343553576953573,0.63539242559581,0.36837527176883106,0.48569548316622163,0.48090738883527157,0.4804701780573033,0.6419936635976506,0.5,1.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.585890139056821,0.33328012971713705,344,10006,3253.5255339400674,
centralized,0.5,2.0,42,0.7530718281216868,0.6247640173188203,0.00032402522174379556,0.0031830898666521537,0.0006431192741729319,0.004914686008046071,0.0005592913366854191,0.007250137982269127,4.980021549272351e-05,0.0003797533712349832,4.389006062410772e-05,0.00018778210505843163,0.8150164330182147,0.6444563481699903,0.8047580610509734,0.6481114509595943,0.7196448811429198,0.6085450103754294,0.6728679372746393,0.5979432597702671,0.5061770662010276,0.5,2.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.5882864074647645,0.4721217425537594,3153,6535,1185.6293687320672,
local,0.5,2.0,42,0.3486849560311991,0.4396220235485153,0.0017289101084315918,0.012871490600953498,0.00364759701769799,0.025671298662821453,0.0029840888571925463,0.01838050888031721,0.0001732459117192775,0.004272609343752265,0.00011070864711655304,0.00316154551692307,0.44415728401374394,0.5360396250221854,0.37556785004253884,0.4851790412397601,0.27502888152089344,0.3838662526070363,0.29998580854762014,0.3534031753250796,0.28447610068884766,0.5,2.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.5882864074647645,0.4721217425537594,3153,6535,1185.6293687320672,0.16105321702969863
federated,0.5,2.0,42,0.5065897685085933,0.4977316723799352,0.0007190628220996587,0.003182522819377482,0.0011573751689866185,0.0048551012128591545,0.0014876987552270293,0.006479572221636772,0.0001303705503232777,0.0004951003938913345,0.00010080681386170909,0.0009003174491226673,0.7343173501778576,0.6330336458388423,0.611113026536754,0.6281589977388,0.32560435186915554,0.37293035863435114,0.3553243454506057,0.35680368730774764,0.744857176290793,0.5,2.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.5882864074647645,0.4721217425537594,3153,6535,1185.6293687320672,
centralized,0.5,4.0,42,0.7530718281216868,0.598972644192696,0.00032402522174379556,0.0031830898666521537,0.0006431192741729319,0.004914686008046071,0.0005592913366854191,0.007250137982269127,4.980021549272351e-05,0.0003797533712349832,4.389006062410772e-05,0.00018778210505843163,0.8150164330182147,0.6089839369634684,0.8047580610509734,0.6153887800600217,0.7196448811429198,0.5878684053285336,0.6728679372746393,0.5836494544187601,0.48581686744528296,0.5,4.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.6670099450763596,0.440138287121429,3531,5969,837.8189541899849,
local,0.5,4.0,42,0.35235885118855814,0.43026083755419564,0.0016696414528269087,0.012323122733520967,0.0034643683233298362,0.023029372546946012,0.002924174617510289,0.01744885746476551,0.00018020733405137434,0.005526308435946703,0.00010981553641613573,0.0032879524864256383,0.4519924053062237,0.5173675958388341,0.39325628378054406,0.4664722973839403,0.26318488105866555,0.38097193170392196,0.3010018346087992,0.3562315252900864,0.2628849824797609,0.5,4.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.6670099450763596,0.440138287121429,3531,5969,837.8189541899849,0.164823775607394
federated,0.5,4.0,42,0.5095451204300963,0.47889878853689727,0.0006966084092709934,0.003210237150390943,0.001151284552179277,0.004726128578186035,0.001379721681587398,0.006209522628535828,0.00015005010936874896,0.0016589751467108727,0.00010537729394854978,0.00024632224813103676,0.7361524849997402,0.5998110381148744,0.6397975875797676,0.6151982847401221,0.29498386658852543,0.33040975323604044,0.36724654255235184,0.3701760780565524,0.70262363745404,0.5,4.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.6670099450763596,0.440138287121429,3531,5969,837.8189541899849,
centralized,0.5,8.0,42,0.7530718281216868,0.5954155224910973,0.00032402522174379556,0.0031830898666521537,0.0006431192741729319,0.004914686008046071,0.0005592913366854191,0.007250137982269127,4.980021549272351e-05,0.0003797533712349832,4.389006062410772e-05,0.00018778210505843163,0.8150164330182147,0.6013526309763552,0.8047580610509734,0.606706124395091,0.7196448811429198,0.5888155627537895,0.6728679372746393,0.5847877718391535,0.442186941158918,0.5,8.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.6929490437233555,0.40360404174986064,1941,5837,1058.472956669182,
local,0.5,8.0,42,0.3466352483793312,0.4337913241136155,0.00173576923989458,0.013000046635729571,0.003684790397528559,0.02464197017798821,0.0029732514987699686,0.019163677646840613,0.00017337065073661507,0.004418376600369811,0.0001116644125431776,0.0037761621177196504,0.44970496607249044,0.513798800128721,0.37653212697791966,0.48817805541032405,0.27428361822888975,0.37661330482567246,0.2860202822380249,0.3565751360897444,0.265624695511564,0.5,8.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.6929490437233555,0.40360404174986064,1941,5837,1058.472956669182,0.15278560980937808
federated,0.5,8.0,42,0.5044583531311218,0.4740648934985952,0.0007608030118717579,0.0034376651467755434,0.0012534712441265583,0.006484824785341819,0.0015326115535572171,0.004207391093174617,0.0001502189988968894,0.002501243259757757,0.00010691025090636685,0.000557201448827982,0.7170665334646986,0.5957207573981871,0.6604953772427656,0.6160223895326737,0.30001092777353183,0.3409767456000912,0.34026057404349097,0.34353968146342884,0.6683465068988683,0.5,8.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.6929490437233555,0.40360404174986064,1941,5837,1058.472956669182,
centralized,0.5,16.0,42,0.7530718281216868,0.6018417959670802,0.00032402522174379556,0.0031830898666521537,0.0006431192741729319,0.004914686008046071,0.0005592913366854191,0.007250137982269127,4.980021549272351e-05,0.0003797533712349832,4.389006062410772e-05,0.00018778210505843163,0.8150164330182147,0.6101134882714653,0.8047580610509734,0.6144940564555083,0.7196448811429198,0.5925844123183519,0.6728679372746393,0.5901752268229953,0.45364245871942854,0.5,16.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.6687075704591393,0.3925863428729835,2582,5526,796.639818236573,
local,0.5,16.0,42,0.3613236500293022,0.4376584623520632,0.0016281460870231966,0.011013980867015199,0.003483533184044063,0.02147660475683709,0.002755177638027817,0.01531722560307632,0.00016188364243134855,0.0035649143625050782,0.0001119898835895583,0.0036971787456423046,0.46501048631078656,0.5201915338742975,0.4190901529648367,0.49602721396606375,0.27860613396114436,0.38576854765047613,0.2825878268804415,0.3486465539174152,0.27253320666733083,0.5,16.0,Risk_Category_Composite,100,constrained_dirichlet,47000,3000,50000,47000,0.6687075704591393,0.3925863428729835,2582,5526,796.639818236573,0.1853077767269449
